Fold	Value	Type	Metric
repeat0_fold0	0.6249084197948828	Original	AUROC
repeat0_fold1	0.5760531700244053	Original	AUROC
repeat0_fold2	0.6366281648512792	Original	AUROC
repeat0_fold3	0.5776619515272488	Original	AUROC
repeat0_fold4	0.6450794326966964	Original	AUROC
repeat1_fold0	0.6333514470559497	Original	AUROC
repeat1_fold1	0.5806556180895814	Original	AUROC
repeat1_fold2	0.6362796558321113	Original	AUROC
repeat1_fold3	0.578752183171242	Original	AUROC
repeat1_fold4	0.5816463090772861	Original	AUROC
repeat2_fold0	0.5771645750678482	Original	AUROC
repeat2_fold1	0.581419844746457	Original	AUROC
repeat2_fold2	0.6371097838193581	Original	AUROC
repeat2_fold3	0.6308580516625344	Original	AUROC
repeat2_fold4	0.5790221615225499	Original	AUROC
repeat3_fold0	0.5735451610168163	Original	AUROC
repeat3_fold1	0.5804943781006073	Original	AUROC
repeat3_fold2	0.627505861319883	Original	AUROC
repeat3_fold3	0.6355606706836521	Original	AUROC
repeat3_fold4	0.6343827106657534	Original	AUROC
repeat4_fold0	0.6352937271084503	Original	AUROC
repeat4_fold1	0.5682512975768854	Original	AUROC
repeat4_fold2	0.5712981194099425	Original	AUROC
repeat4_fold3	0.5735412158078779	Original	AUROC
repeat4_fold4	0.6415103025513037	Original	AUROC
repeat0_fold0	0.6173620988399499	Trainset-only	AUROC
repeat0_fold1	0.5579805180446853	Trainset-only	AUROC
repeat0_fold2	0.6196471218370163	Trainset-only	AUROC
repeat0_fold3	0.5506878109945176	Trainset-only	AUROC
repeat0_fold4	0.6077466441912704	Trainset-only	AUROC
repeat1_fold0	0.6111293923948699	Trainset-only	AUROC
repeat1_fold1	0.623119909513248	Trainset-only	AUROC
repeat1_fold2	0.615033024900478	Trainset-only	AUROC
repeat1_fold3	0.5449473919227521	Trainset-only	AUROC
repeat1_fold4	0.6185074700313525	Trainset-only	AUROC
repeat2_fold0	0.6134875534960995	Trainset-only	AUROC
repeat2_fold1	0.6098452385576801	Trainset-only	AUROC
repeat2_fold2	0.6177720037141925	Trainset-only	AUROC
repeat2_fold3	0.6242595146300487	Trainset-only	AUROC
repeat2_fold4	0.5509195044780222	Trainset-only	AUROC
repeat3_fold0	0.617186081825781	Trainset-only	AUROC
repeat3_fold1	0.6247146843571393	Trainset-only	AUROC
repeat3_fold2	0.5465332958826399	Trainset-only	AUROC
repeat3_fold3	0.6150409853516493	Trainset-only	AUROC
repeat3_fold4	0.6127003559185418	Trainset-only	AUROC
repeat4_fold0	0.6192829487042533	Trainset-only	AUROC
repeat4_fold1	0.6129623271298151	Trainset-only	AUROC
repeat4_fold2	0.6214145520969275	Trainset-only	AUROC
repeat4_fold3	0.5604192641237546	Trainset-only	AUROC
repeat4_fold4	0.6183767645588948	Trainset-only	AUROC
repeat0_fold0	0.7673219401148036	Testset-only	AUROC
repeat0_fold1	0.6365175527453735	Testset-only	AUROC
repeat0_fold2	0.7945142633075188	Testset-only	AUROC
repeat0_fold3	0.6435153416331731	Testset-only	AUROC
repeat0_fold4	0.773505429750896	Testset-only	AUROC
repeat1_fold0	0.7706048426624841	Testset-only	AUROC
repeat1_fold1	0.6560707555904106	Testset-only	AUROC
repeat1_fold2	0.7758378808177848	Testset-only	AUROC
repeat1_fold3	0.6506218344606738	Testset-only	AUROC
repeat1_fold4	0.6507723643651494	Testset-only	AUROC
repeat2_fold0	0.624753782308924	Testset-only	AUROC
repeat2_fold1	0.6559666263656069	Testset-only	AUROC
repeat2_fold2	0.7751039658421288	Testset-only	AUROC
repeat2_fold3	0.7654338899236459	Testset-only	AUROC
repeat2_fold4	0.6596695313095665	Testset-only	AUROC
repeat3_fold0	0.6274970863422976	Testset-only	AUROC
repeat3_fold1	0.648839220555719	Testset-only	AUROC
repeat3_fold2	0.7823187269221972	Testset-only	AUROC
repeat3_fold3	0.7562332668910455	Testset-only	AUROC
repeat3_fold4	0.7820867235238376	Testset-only	AUROC
repeat4_fold0	0.7681610735330959	Testset-only	AUROC
repeat4_fold1	0.6102210022982497	Testset-only	AUROC
repeat4_fold2	0.6442838937359082	Testset-only	AUROC
repeat4_fold3	0.6441873890359332	Testset-only	AUROC
repeat4_fold4	0.7890195950288099	Testset-only	AUROC
repeat0_fold0	0.7787458745874587	Clustered	AUROC
repeat0_fold1	0.6432868237318781	Clustered	AUROC
repeat0_fold2	0.7803167445457417	Clustered	AUROC
repeat0_fold3	0.6309993573614787	Clustered	AUROC
repeat0_fold4	0.7928275005718394	Clustered	AUROC
repeat1_fold0	0.7899188532714658	Clustered	AUROC
repeat1_fold1	0.7991286257338606	Clustered	AUROC
repeat1_fold2	0.7861017982986418	Clustered	AUROC
repeat1_fold3	0.6217107255279983	Clustered	AUROC
repeat1_fold4	0.7940090840767244	Clustered	AUROC
repeat2_fold0	0.7828319663649534	Clustered	AUROC
repeat2_fold1	0.7815841584158416	Clustered	AUROC
repeat2_fold2	0.7710300733043601	Clustered	AUROC
repeat2_fold3	0.7930418586413097	Clustered	AUROC
repeat2_fold4	0.6346615255584964	Clustered	AUROC
repeat3_fold0	0.7914733849622586	Clustered	AUROC
repeat3_fold1	0.8037161934015185	Clustered	AUROC
repeat3_fold2	0.6204685815116165	Clustered	AUROC
repeat3_fold3	0.7894761951442669	Clustered	AUROC
repeat3_fold4	0.7910028428585433	Clustered	AUROC
repeat4_fold0	0.780486662527639	Clustered	AUROC
