Fold	Value	Type	Metric
repeat0_fold0	0.6003796785042232	Original	AUROC
repeat0_fold1	0.6120986298499458	Original	AUROC
repeat0_fold2	0.5995455119303118	Original	AUROC
repeat0_fold3	0.6078713968336734	Original	AUROC
repeat0_fold4	0.6063967524347308	Original	AUROC
repeat1_fold0	0.603978969655227	Original	AUROC
repeat1_fold1	0.6034035761054615	Original	AUROC
repeat1_fold2	0.6113228476994343	Original	AUROC
repeat1_fold3	0.6032728706330039	Original	AUROC
repeat1_fold4	0.6104832652173946	Original	AUROC
repeat2_fold0	0.6111618411547761	Original	AUROC
repeat2_fold1	0.6081375000093378	Original	AUROC
repeat2_fold2	0.6090642039100616	Original	AUROC
repeat2_fold3	0.5994325949147238	Original	AUROC
repeat2_fold4	0.6085298732154583	Original	AUROC
repeat3_fold0	0.5989928558569124	Original	AUROC
repeat3_fold1	0.6059308676135418	Original	AUROC
repeat3_fold2	0.6013577868433024	Original	AUROC
repeat3_fold3	0.6007830469376215	Original	AUROC
repeat3_fold4	0.6105491432033341	Original	AUROC
repeat4_fold0	0.6025345329507585	Original	AUROC
repeat4_fold1	0.6039583098332723	Original	AUROC
repeat4_fold2	0.5983177582398373	Original	AUROC
repeat4_fold3	0.5946855747847271	Original	AUROC
repeat4_fold4	0.6050349083292185	Original	AUROC
repeat0_fold0	0.5981335006413182	Trainset-only	AUROC
repeat0_fold1	0.6025050722780954	Trainset-only	AUROC
repeat0_fold2	0.5900209138093704	Trainset-only	AUROC
repeat0_fold3	0.6000742166169026	Trainset-only	AUROC
repeat0_fold4	0.5956177646268739	Trainset-only	AUROC
repeat1_fold0	0.5968376745883349	Trainset-only	AUROC
repeat1_fold1	0.602770031576612	Trainset-only	AUROC
repeat1_fold2	0.5931771509932775	Trainset-only	AUROC
repeat1_fold3	0.6011933253227695	Trainset-only	AUROC
repeat1_fold4	0.5926251485639626	Trainset-only	AUROC
repeat2_fold0	0.6012724862902822	Trainset-only	AUROC
repeat2_fold1	0.600977459363881	Trainset-only	AUROC
repeat2_fold2	0.5972977233016272	Trainset-only	AUROC
repeat2_fold3	0.6022616365455021	Trainset-only	AUROC
repeat2_fold4	0.5976664719429814	Trainset-only	AUROC
repeat3_fold0	0.6053455760247832	Trainset-only	AUROC
repeat3_fold1	0.6027660396788105	Trainset-only	AUROC
repeat3_fold2	0.5933422194690319	Trainset-only	AUROC
repeat3_fold3	0.5935915379983849	Trainset-only	AUROC
repeat3_fold4	0.6056348135321507	Trainset-only	AUROC
repeat4_fold0	0.5995460721966699	Trainset-only	AUROC
repeat4_fold1	0.59112652943378	Trainset-only	AUROC
repeat4_fold2	0.5960599081611386	Trainset-only	AUROC
repeat4_fold3	0.5955982253376351	Trainset-only	AUROC
repeat4_fold4	0.5908598659917574	Trainset-only	AUROC
repeat0_fold0	0.6892448452766069	Testset-only	AUROC
repeat0_fold1	0.701517498284482	Testset-only	AUROC
repeat0_fold2	0.6790652332559989	Testset-only	AUROC
repeat0_fold3	0.6916777222276682	Testset-only	AUROC
repeat0_fold4	0.6908891285168121	Testset-only	AUROC
repeat1_fold0	0.6888614405995055	Testset-only	AUROC
repeat1_fold1	0.6888666688451024	Testset-only	AUROC
repeat1_fold2	0.7117672559335142	Testset-only	AUROC
repeat1_fold3	0.69255650317507	Testset-only	AUROC
repeat1_fold4	0.7082713023777625	Testset-only	AUROC
repeat2_fold0	0.6947044407411038	Testset-only	AUROC
repeat2_fold1	0.6704571447243735	Testset-only	AUROC
repeat2_fold2	0.6873482991863542	Testset-only	AUROC
repeat2_fold3	0.6888335566229891	Testset-only	AUROC
repeat2_fold4	0.7029487305166161	Testset-only	AUROC
repeat3_fold0	0.6592830768225337	Testset-only	AUROC
repeat3_fold1	0.7046424642464246	Testset-only	AUROC
repeat3_fold2	0.681062205230424	Testset-only	AUROC
repeat3_fold3	0.6883534294023462	Testset-only	AUROC
repeat3_fold4	0.7018575520918429	Testset-only	AUROC
repeat4_fold0	0.6778520624339662	Testset-only	AUROC
repeat4_fold1	0.6858495354485944	Testset-only	AUROC
repeat4_fold2	0.6911169928874076	Testset-only	AUROC
repeat4_fold3	0.6828328377392194	Testset-only	AUROC
repeat4_fold4	0.6883939483057216	Testset-only	AUROC
repeat0_fold0	0.7116853467524971	Clustered	AUROC
repeat0_fold1	0.7223705736910324	Clustered	AUROC
repeat0_fold2	0.691469463778061	Clustered	AUROC
repeat0_fold3	0.705769151172543	Clustered	AUROC
repeat0_fold4	0.7062741125597709	Clustered	AUROC
repeat1_fold0	0.6922218954568724	Clustered	AUROC
repeat1_fold1	0.7111311527192323	Clustered	AUROC
repeat1_fold2	0.6916733653563376	Clustered	AUROC
repeat1_fold3	0.7132995675805205	Clustered	AUROC
repeat1_fold4	0.7040102822163404	Clustered	AUROC
repeat2_fold0	0.7045701401823351	Clustered	AUROC
repeat2_fold1	0.7110496792253483	Clustered	AUROC
repeat2_fold2	0.7066422681872147	Clustered	AUROC
repeat2_fold3	0.708430763868466	Clustered	AUROC
repeat2_fold4	0.7102706706314195	Clustered	AUROC
repeat3_fold0	0.7109342221350848	Clustered	AUROC
repeat3_fold1	0.7105329542855277	Clustered	AUROC
repeat3_fold2	0.704420263808559	Clustered	AUROC
repeat3_fold3	0.7075837880817785	Clustered	AUROC
repeat3_fold4	0.7184188913940899	Clustered	AUROC
repeat4_fold0	0.705382260998377	Clustered	AUROC
repeat4_fold1	0.6957710028428585	Clustered	AUROC
repeat4_fold2	0.6954581794813146	Clustered	AUROC
repeat4_fold3	0.6951065799649272	Clustered	AUROC
repeat4_fold4	0.6962188892156542	Clustered	AUROC
repeat0_fold0	0.5903348320665481	Original	AUPR
repeat0_fold1	0.6033409510090373	Original	AUPR
repeat0_fold2	0.5830076998155489	Original	AUPR
repeat0_fold3	0.601237911010339	Original	AUPR
repeat0_fold4	0.594374101995732	Original	AUPR
repeat1_fold0	0.5899421231094526	Original	AUPR
repeat1_fold1	0.593132793342142	Original	AUPR
repeat1_fold2	0.6007655398242832	Original	AUPR
repeat1_fold3	0.592395810393908	Original	AUPR
repeat1_fold4	0.6040344145988147	Original	AUPR
repeat2_fold0	0.5958228581755202	Original	AUPR
repeat2_fold1	0.5955200122897126	Original	AUPR
repeat2_fold2	0.5921209356669906	Original	AUPR
repeat2_fold3	0.5887983209927925	Original	AUPR
repeat2_fold4	0.6062579181221682	Original	AUPR
repeat3_fold0	0.5792332742461085	Original	AUPR
repeat3_fold1	0.5952528067366104	Original	AUPR
repeat3_fold2	0.5857663153540655	Original	AUPR
repeat3_fold3	0.5925042437255634	Original	AUPR
repeat3_fold4	0.6048703557171209	Original	AUPR
repeat4_fold0	0.5927819241612311	Original	AUPR
repeat4_fold1	0.5921252905256965	Original	AUPR
repeat4_fold2	0.5885822394320689	Original	AUPR
repeat4_fold3	0.5870078974262994	Original	AUPR
repeat4_fold4	0.5969123828739463	Original	AUPR
repeat0_fold0	0.584005323584692	Trainset-only	AUPR
repeat0_fold1	0.5898856979053062	Trainset-only	AUPR
repeat0_fold2	0.5730396991279033	Trainset-only	AUPR
repeat0_fold3	0.5890479617742393	Trainset-only	AUPR
repeat0_fold4	0.5865647082036831	Trainset-only	AUPR
repeat1_fold0	0.5817970100719819	Trainset-only	AUPR
repeat1_fold1	0.5918086410838148	Trainset-only	AUPR
repeat1_fold2	0.5799861430058703	Trainset-only	AUPR
repeat1_fold3	0.5938770674020598	Trainset-only	AUPR
repeat1_fold4	0.5768673742968392	Trainset-only	AUPR
repeat2_fold0	0.582659463150286	Trainset-only	AUPR
repeat2_fold1	0.5841641364911296	Trainset-only	AUPR
repeat2_fold2	0.5851409108065825	Trainset-only	AUPR
repeat2_fold3	0.5868918371327165	Trainset-only	AUPR
repeat2_fold4	0.5773365964205218	Trainset-only	AUPR
repeat3_fold0	0.5883049841343201	Trainset-only	AUPR
repeat3_fold1	0.5922728973100067	Trainset-only	AUPR
repeat3_fold2	0.5819095791232303	Trainset-only	AUPR
repeat3_fold3	0.58120064854143	Trainset-only	AUPR
repeat3_fold4	0.590851594253699	Trainset-only	AUPR
repeat4_fold0	0.5858782612107812	Trainset-only	AUPR
repeat4_fold1	0.5777754578608485	Trainset-only	AUPR
repeat4_fold2	0.5835022168598786	Trainset-only	AUPR
repeat4_fold3	0.5805751003275729	Trainset-only	AUPR
repeat4_fold4	0.5791353407734852	Trainset-only	AUPR
repeat0_fold0	0.6730650499863023	Testset-only	AUPR
