Fold	Value	Type	Metric
repeat0_fold0	0.6304944854849928	Original	AUROC
repeat0_fold1	0.63858853683826	Original	AUROC
repeat0_fold2	0.6310339519545451	Original	AUROC
repeat0_fold3	0.6289192732747718	Original	AUROC
repeat0_fold4	0.6194105026784467	Original	AUROC
repeat1_fold0	0.6188222696913082	Original	AUROC
repeat1_fold1	0.6304029052798754	Original	AUROC
repeat1_fold2	0.6240980178523272	Original	AUROC
repeat1_fold3	0.6271522632146291	Original	AUROC
repeat1_fold4	0.6273616861103993	Original	AUROC
repeat2_fold0	0.6340003055319205	Original	AUROC
repeat2_fold1	0.629104487994986	Original	AUROC
repeat2_fold2	0.628680062884296	Original	AUROC
repeat2_fold3	0.6310383640521153	Original	AUROC
repeat2_fold4	0.6332501088784289	Original	AUROC
repeat3_fold0	0.636318827788315	Original	AUROC
repeat3_fold1	0.6308553670529018	Original	AUROC
repeat3_fold2	0.6291787933207286	Original	AUROC
repeat3_fold3	0.6378812705944575	Original	AUROC
repeat3_fold4	0.6301918482738941	Original	AUROC
repeat4_fold0	0.6294547945353861	Original	AUROC
repeat4_fold1	0.6222325643241806	Original	AUROC
repeat4_fold2	0.6205778176355415	Original	AUROC
repeat4_fold3	0.630622272903502	Original	AUROC
repeat4_fold4	0.6229876866527371	Original	AUROC
repeat0_fold0	0.6126005818179372	Trainset-only	AUROC
repeat0_fold1	0.6234845028457796	Trainset-only	AUROC
repeat0_fold2	0.6156442054638669	Trainset-only	AUROC
repeat0_fold3	0.6191975080846436	Trainset-only	AUROC
repeat0_fold4	0.6124691526681004	Trainset-only	AUROC
repeat1_fold0	0.6083295079591439	Trainset-only	AUROC
repeat1_fold1	0.6094943950953535	Trainset-only	AUROC
repeat1_fold2	0.6173894818582019	Trainset-only	AUROC
repeat1_fold3	0.6161635256889595	Trainset-only	AUROC
repeat1_fold4	0.6147951918314659	Trainset-only	AUROC
repeat2_fold0	0.6078556393423519	Trainset-only	AUROC
repeat2_fold1	0.6093267120432615	Trainset-only	AUROC
